ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001493152-23-041346	0	3	1442679	
0001595888-23-000050	5	11967	309412152970	N
0001493152-23-041364	0	41	307379517	
0000950123-23-011010	4	517	29635143838	N
0001398344-23-020742	1	418	410615279	
0000913760-23-000150	2	254	728414	
0001609251-23-000005	0	12	271606	N
0000950103-23-016257	1	2	5816392	
0001398344-23-020744	0	53	43049423	
0001835252-23-000004	0	247	110249722	N
0001766561-23-000006	0	41	108028	N
0001535061-23-000004	0	796	1255325808	
0001420506-23-002223	0	87	33340154	N
0001835252-23-000003	0	115	154344859	N
0001845849-23-000004	1	27	3900879	N
0001316617-23-000009	0	174	5654183176	N
0001085146-23-004516	0	20	1881769155	N
0001095449-23-000081	0	34	65172361	N
0001085146-23-004517	0	14	588083273	N
0000850401-23-000027	10	573	7960452437	N
0001067926-23-000007	0	44	1235482	N
0001683182-23-000008	0	90	455412	N
0001423296-23-000008	0	133	699108515	N
0001608046-23-000010	0	514	62492700243	N
0001493152-23-041353	0	218	193306	
0001214659-23-015169	0	25	160997126	
0001722439-23-000004	0	157	206642	N
0001213900-23-087162	0	179	371160118	
0001455915-23-000005	0	1272	4504913924	N
0001951757-23-000705	8	152	118254068	N
0001085146-23-004519	0	112	144539201	N
0001569137-23-000005	0	112	1328171512	N
0001432529-23-000005	0	1605	1998099386	N
0001754960-23-000341	0	65	102718521	N
0001214659-23-015165	0	20	226422947	
0001532155-23-000162	3	1171	6971787569	N
0001839882-23-030708	1	20	835877208	
0001214659-23-015164	0	62	117335113	
0001172661-23-004055	2	698	782712992	
0001172661-23-004054	0	67	128787612	
0001104659-23-118262	0	14	286244950	
0001104659-23-118259	0	8	1162478703	
0001085146-23-004515	0	972	6996555864	N
0001941040-23-000352	0	48	3005539	
0001821626-23-000006	0	1588	464448574	N
0001104659-23-118256	0	407	587364154	
0000036644-23-000005	0	512	1541217180	N
0001493152-23-041333	0	237	307412331	
0001398344-23-020733	1	2627	17492093131	
0001573876-23-000018	37	4428	3723392022	
0000092230-23-000091	3	6054	59849089347	N
0001731530-23-000007	0	36	234514979	N
0001085146-23-004514	0	28	680433602	N
0001941040-23-000351	0	261	2520466279	
0000950123-23-011008	0	10	5325527145	N
0001951757-23-000704	0	210	414363908	N
0001321655-23-000123	0	4	9719645	N
0000732847-23-000010	0	85	292230	N
0001894203-23-000005	0	53	376812816	N
0001619779-23-000004	0	76	113762440	N
0001765380-23-000250	0	84	537294357	N
0001104659-23-118239	0	168	693214709	
0001785546-23-000004	2	242	7788072	N
0001104659-23-118238	0	117	250836490	
0001600136-23-000006	0	126	1164571840	N
0001521951-23-000093	0	168	784783877	N
0001104659-23-118236	0	73	177594854	
0001140361-23-053294	1	5	233628145	
0001418746-23-000006	0	53	78222285	N
0000950123-23-011004	3	400	3970237810	N
0001907054-23-000005	0	146	140516769	N
0000950123-23-011003	2	772	60821227099	N
0001689933-23-000006	0	195	481550207	N
0001104659-23-118230	0	83	210119663	
0001172661-23-004053	0	5	1023435516	
0001938900-23-000006	0	144	2130365852	N
0001953154-23-000003	0	23	314187106	N
0001904677-23-000003	0	61	75711322	N
0001085146-23-004513	0	194	1184929874	N
0001140361-23-053289	4	54	1661625127	
0001172661-23-004052	0	102	87848374	
0001053914-23-000009	3	141	96434921	N
0001802891-23-000006	0	43	257241202	
0001632118-23-000005	0	35	182480737	N
0001085146-23-004512	0	112	220845654	N
0001965814-23-000006	0	143	136254880	N
0001777813-23-000007	0	29	3059386105	N
0001709323-23-000006	0	6	1820102	N
0001172661-23-004051	0	52	87813672	
0001904326-23-000003	0	132	100726770	N
0000950103-23-016249	1	2	5900431	
0001398344-23-020729	2	172	46529667506	
0001420506-23-002218	0	99	440622249	N
0001895911-23-000011	2	80	1807086305	N
0001062993-23-020821	0	35	1294116180	N
0001104659-23-118218	0	11	199194554	
0001085146-23-004511	0	42	6593273438	N
0001085146-23-004510	0	83	214123425	N
0001085146-23-004509	0	126	296635384	N
0000950123-23-010988	10	169	23870135183	N
0000950123-23-010987	1	14	12142230474	N
0000950123-23-010985	0	1	303878700	N
0001085146-23-004508	0	135	515982884	N
0001568787-23-000006	7	584	2291699999	N
0001085146-23-004507	0	123	255256302	N
0001104659-23-118214	0	65	5042131322	
0001085146-23-004506	0	27	1012571843	N
0001787893-23-000005	0	22	278183656	N
0001140361-23-053283	0	492	34709449273	
0001053914-23-000008	4	184	155168439	N
0001214659-23-015157	1	4	191729952	
0001104659-23-118209	0	63	2593971513	
0001580642-23-006208	0	155	5563887147	
0001535264-23-000080	0	126	677527753	N
0001104659-23-118207	0	28	324295211	
0001818557-23-000005	0	70	159667227	N
0000950103-23-016247	3	4	2842567732	
0001892688-23-000099	0	29	447543005	N
0001337263-23-000005	0	144	436721	N
0001345471-23-000146	4	12	6574555262	N
0001791827-23-000006	0	83	2483190644	N
0001085146-23-004505	0	0	0	N
0001140361-23-053279	0	115	18596742666	
0001493152-23-041235	0	1	505175	Y
0001525109-23-000005	0	63	184829112	N
0001904323-23-000003	0	91	104332816	N
0001717479-23-000007	0	323	1144323	N
0001841077-23-000010	0	70	251517140	N
0001599863-23-000009	0	285	1595846694	N
0001053914-23-000007	5	271	111340622	N
0001085146-23-004504	4	3712	48428003278	N
0001085146-23-004503	0	0	0	N
0001085146-23-004502	2	785	2225694843	N
0001085146-23-004501	0	1712	12862150323	N
0001085146-23-004500	0	0	0	N
0001085146-23-004499	2	1	221383	N
0001085146-23-004498	0	0	0	N
0001904388-23-000007	0	67	178603179	N
0000919574-23-006417	0	109	571348926	
0001964958-23-000005	0	388	491269755	N
0000950103-23-016242	0	3	119443606	Y
0000950123-23-010976	0	69	1239357058	N
0001586767-23-000004	0	1775	802886896	N
0000944317-23-000004	0	125	163431292	
0001398344-23-020722	0	209	122533317	
0001696497-23-000005	0	337	287388264	N
0001420506-23-002216	0	57	204010166	N
0001420506-23-002215	0	72	907286069	N
0001085146-23-004497	0	916	4723179767	N
0001493152-23-041216	0	55	418564557	
0001085146-23-004496	0	23	325815708	N
0001085146-23-004495	0	9	271397773	N
0001512404-23-000007	0	107	490320170	N
0001085146-23-004494	0	113	609610051	N
0001085146-23-004493	0	0	0	N
0001085146-23-004492	4	3625	32277378886	N
0001892688-23-000098	0	40	265971440	N
0001085146-23-004491	0	0	0	N
0001085146-23-004490	0	0	0	N
0001085146-23-004489	0	0	0	N
0001085146-23-004488	2	171	1136416167	N
0001085146-23-004487	0	0	0	N
0001053914-23-000006	6	318	288251066	N
0001493152-23-041209	1	6	1124936275	
0001607512-23-000009	0	6	139469679	N
0001228242-23-000010	0	805	10524928383	N
0000895345-23-000635	2	5	155537825	Y
0001085146-23-004486	0	0	0	N
0001415889-23-015098	1	198	51392400012	N
0001085146-23-004485	1	3266	76903880909	N
0001207017-23-000039	1	3410	73517217	N
0001337263-23-000004	0	217	843201	N
0001104659-23-118182	0	654	1968101155	
0001085146-23-004484	0	0	0	N
0001104186-23-000008	0	63	1802416954	N
0001085146-23-004483	1	157	1286277319	N
0000897069-23-001590	0	316	172774894	
0001869164-23-000010	0	138	92745904	N
0001306923-23-000014	0	29	1056915561	N
0000909012-23-000119	0	71	3433403512	N
0001892688-23-000097	0	3	284152279	N
0000905148-23-001446	0	8	359855736	
0001449434-23-000042	1	84	10048703042	N
0001645721-23-000012	0	12	110354745	N
0000950123-23-010967	0	32	374602543	N
0000905148-23-001445	0	8	352654907	
0001803156-23-000005	0	67	69185416	N
0000947871-23-001078	0	301	4427952444	
0001911372-23-000007	0	36	183623144	N
0001420506-23-002213	0	86	3164360709	N
0000905148-23-001444	0	4	161165528	
0000905148-23-001443	0	26	670607131	
0001104659-23-118178	0	20	32533526	
0001221073-23-000088	0	257	554781086	N
0001363829-23-000203	1	11	302018175	N
0001892688-23-000096	0	76	87028800	N
0001564702-23-000025	0	573	792573489	N
0001765380-23-000249	0	182	1037263704	N
0001739439-23-000023	4	2922	25926866861	N
0001172661-23-004050	0	7	105925096	
0000905148-23-001442	0	26	3846905697	
0001123292-23-000142	0	6	113555368	
0001013594-23-000930	1	18	1117602497	
0001085146-23-004479	0	1	0	N
0000908551-23-000005	0	7	11359082679	N
0000905148-23-001441	0	1	0	Y
0001812881-23-000005	0	1	103967	N
0000950123-23-010964	0	2	82372886	N
0001653169-23-000005	0	322	220481381	N
0000934549-23-000103	0	4	14115381	N
0001104659-23-118176	0	2	52681066	
0001123292-23-000141	0	1044	9336184649	
0001777141-23-000007	0	52	260064212	N
0001178913-23-003693	0	3	5634882	
0001104659-23-118173	1	7	2766010683	
0001999371-23-000210	0	37	5796520238	
0000919574-23-006411	1	11	909818552	
0000902664-23-005550	1	8	1365962551	
0000905148-23-001439	0	52	4416242564	
0001683168-23-008134	0	5	366363303	
0001999371-23-000209	0	75	1052825948	
0001104659-23-118168	0	9	477939740	
0001539497-23-001928	7	18	12080415	Y
0000902664-23-005548	0	26	10372457703	
0001214659-23-015150	0	39	1088459203	
0000899140-23-001108	0	11	742379576	
0001172661-23-004047	0	23	425247813	
