ACCESSION_NUMBER,OTHERINCLUDEDMANAGERSCOUNT,TABLEENTRYTOTAL,TABLEVALUETOTAL,ISCONFIDENTIALOMITTED,timestamp
0001904677-24-000003,0,76,100263428,N,2023-10-01
0002019946-24-000003,0,213,69636420,N,2023-10-01
0001825564-24-000006,0,2,878634305,N,2023-10-01
0000312069-24-000123,7,9424,327101611,N,2023-10-01
0001731530-24-000004,0,46,331651035,N,2023-10-01
0001818557-24-000005,0,78,191873973,N,2023-10-01
0001172661-24-003581,0,877,19152850231,,2023-10-01
0001960657-24-000003,0,54,238512672,N,2023-10-01
0001967261-24-000003,0,53,135556954,N,2023-10-01
0000918893-24-000007,0,75,373434809,,2023-10-01
0001140361-24-037357,1,83,638373475,,2023-10-01
0001904432-24-000003,0,114,140942643,N,2023-10-01
0001845199-24-000003,0,179,148614904,N,2023-10-01
0001456511-24-000003,0,37,109276411,N,2023-10-01
0001894712-24-000003,0,611,167181536,N,2023-10-01
0001104659-24-089726,0,128,1700173175,,2023-10-01
0001963900-24-000004,0,61,14379767,N,2023-10-01
0001966033-24-000004,0,780,404638618,N,2023-10-01
0000902664-24-005163,0,1,0,,2023-10-01
0001845849-24-000004,1,25,10979485,N,2023-10-01
0000902664-24-005162,1,21,2424139958,,2023-10-01
0001962685-24-000003,0,97,86544511,N,2023-10-01
0000902664-24-005160,1,78,4054057896,,2023-10-01
0001140361-24-037354,0,461,41188301886,,2023-10-01
0001213900-24-069134,0,16,123139644,,2023-10-01
0000950123-24-008802,0,7,385267931,N,2023-10-01
0000919574-24-004759,0,31,222881456,,2023-10-01
0001892688-24-000099,0,47,775664346,N,2023-10-01
0001904388-24-000003,0,82,288093062,N,2023-10-01
0000872573-24-000019,0,465,2925913985,N,2023-10-01
0001512901-24-000003,0,101,506955976,N,2023-10-01
0001214659-24-014739,0,102,351613933,,2023-10-01
0001214659-24-014740,0,143,197209758,,2023-10-01
0000947871-24-000693,4,63,9933586455,,2023-10-01
0001376474-24-000455,0,170,427692,,2023-10-01
0001463931-24-000012,2,71,3333611590,N,2023-10-01
0001172661-24-003580,0,119,2148870334,,2023-10-01
0001904323-24-000003,0,92,132771444,N,2023-10-01
0001376474-24-000454,0,15,112892014,,2023-10-01
0001512026-24-000005,0,272,1150162245,N,2023-10-01
0001080171-24-000005,0,339,4520364978,N,2023-10-01
0001974312-24-000004,0,175,2128143335,Y,2023-10-01
0001228242-24-000009,0,733,16572074278,N,2023-10-01
0000950123-24-008800,3,2,5897423458,N,2023-10-01
0001376474-24-000453,0,69,3298692717,,2023-10-01
0001512404-24-000004,0,140,588813372,N,2023-10-01
0001946237-24-000005,0,75,290284512,N,2023-10-01
0001461790-24-000016,0,228,537720670,N,2023-10-01
0001965542-24-000004,0,30,171871934,N,2023-10-01
0000947871-24-000692,0,9,586505451,,2023-10-01
0001437749-24-026855,0,412,332736703,N,2023-10-01
0001062993-24-015076,0,52,88774152,N,2023-10-01
0001873063-24-000005,1,56,95637161,N,2023-10-01
0000108634-24-000009,0,91,101286453,N,2023-10-01
0000905148-24-002242,0,8,323979158,,2023-10-01
0002001471-24-000005,0,87,772047433,N,2023-10-01
0001892688-24-000098,0,19,140053822,N,2023-10-01
0000950103-24-012209,0,1,136171225,Y,2023-10-01
0001493152-24-032319,0,39,390502089,,2023-10-01
0000950142-24-002211,0,8,79523330,,2023-10-01
0001741001-24-000004,0,104,1889982075,N,2023-10-01
0000899140-24-000897,4,7,754621304,,2023-10-01
0001841077-24-000006,0,66,199548694,N,2023-10-01
0000905148-24-002240,2,11,362975082,,2023-10-01
0000950123-24-008797,0,1,0,N,2023-10-01
